step ,elapsed_tokens ,elapsed_examples ,training_loss         ,training_sequence_accuracy ,training_token_accuracy ,validation_loss       ,validation_sequence_accuracy ,validation_token_accuracy ,classification/accuracy ,classification/weighted_f1_score
 193 ,        482568 ,            1544 ,0.015565309417629814  ,                     0.75  ,                  0.75  ,0.015937824708694023  ,                       0.875 ,                    0.875 ,                        ,
 194 ,        484752 ,            1552 ,0.018379535639570222  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 195 ,        487576 ,            1560 ,0.011270423491487042  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 196 ,        489568 ,            1568 ,0.015109985628340077  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 197 ,        492456 ,            1576 ,0.01572568401035564   ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
 198 ,        494768 ,            1584 ,0.018607369884553717  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 199 ,        499000 ,            1592 ,0.008767184822947183  ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
 200 ,        500928 ,            1600 ,0.017511606034313846  ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
 201 ,        502280 ,            1608 ,0.01796851575450729   ,                     0.875 ,                  0.875 ,0.011865404379532738  ,                       1.0   ,                    1.0   ,                        ,
 202 ,        504272 ,            1616 ,0.0149142871416276    ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
